FAILAVG,METRIC,MXN,L4,M_STEP,M_PACKET,INTERFACES
0.0110716,152,9,UDP,15,1024,1
0.0397384,156,9,UDP,15,1024,1
0.0165703,153,9,UDP,15,1024,1
0.00308738,151,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0.00582025,151,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0.00611971,151,9,UDP,15,1024,1
0.00491567,151,9,UDP,15,1024,1
0.00543301,151,9,UDP,15,1024,1
0.00915775,151,9,UDP,15,1024,1
0.00806109,151,9,UDP,15,1024,1
0.011949,152,9,UDP,15,1024,1
0.00637358,151,9,UDP,15,1024,1
0.0105793,152,9,UDP,15,1024,1
0.0166084,153,9,UDP,15,1024,1
0.0219952,153,9,UDP,15,1024,1
0.0248615,154,9,UDP,15,1024,1
0.0312335,155,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0.00651297,151,9,UDP,15,1024,1
0.0128725,152,9,UDP,15,1024,1
0.00988126,152,9,UDP,15,1024,1
0.0258247,154,9,UDP,15,1024,1
0.0261111,154,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0.00957738,152,9,UDP,15,1024,1
0.0100885,152,9,UDP,15,1024,1
0.0112356,152,9,UDP,15,1024,1
0.00885886,151,9,UDP,15,1024,1
0.0152658,152,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0.000721479,150,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0.0119795,152,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0.000411331,150,9,UDP,15,1024,1
0.0188662,153,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0.010718,152,9,UDP,15,1024,1
0.0110966,152,9,UDP,15,1024,1
0.0156425,152,9,UDP,15,1024,1
0.01897,153,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0.000323895,150,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0.00511961,151,9,UDP,15,1024,1
0.0118906,152,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0.000557189,150,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0.0332844,155,9,UDP,15,1024,1
0.0120674,152,9,UDP,15,1024,1
0.0118193,152,9,UDP,15,1024,1
0.046425,157,9,UDP,15,1024,1
0.0218762,153,9,UDP,15,1024,1
0.0194717,153,9,UDP,15,1024,1
0.0326628,155,9,UDP,15,1024,1
0.0320335,155,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0.000721479,150,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0.000411331,150,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0.0320335,155,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0.0248615,154,9,UDP,15,1024,1
0.01897,153,9,UDP,15,1024,1
0.00491567,151,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0.00642941,151,9,UDP,15,1024,1
0.0110716,152,9,UDP,15,1024,1
0.0165703,153,9,UDP,15,1024,1
0.00308738,151,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0.374235,240,9,UDP,15,1024,1
0.00582025,151,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0.00611971,151,9,UDP,15,1024,1
0.00491567,151,9,UDP,15,1024,1
0.00543301,151,9,UDP,15,1024,1
0.00806109,151,9,UDP,15,1024,1
0.011949,152,9,UDP,15,1024,1
0.00637358,151,9,UDP,15,1024,1
0.0105793,152,9,UDP,15,1024,1
0.0219952,153,9,UDP,15,1024,1
0.0248615,154,9,UDP,15,1024,1
0.0312335,155,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0.490578,295,9,UDP,15,1024,1
0.00651297,151,9,UDP,15,1024,1
0.0128725,152,9,UDP,15,1024,1
0.0258247,154,9,UDP,15,1024,1
0.0261111,154,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0.00957738,152,9,UDP,15,1024,1
0.0112356,152,9,UDP,15,1024,1
0.00885886,151,9,UDP,15,1024,1
0.0152658,152,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0.000721479,150,9,UDP,15,1024,1
