FAILAVG,TXDURATION,METRIC,MXN,M_STEP,M_PACKET,INTERFACES,PDF,COMP,TX,TXX
0.0110716,1448,152,9,15,1024,1,0.99624,1.011195553,SI,1
0.0397384,1448,156,9,15,1024,1,0.99624,1.04138289,SI,1
0.0165703,1448,153,9,15,1024,1,0.99624,1.016849501,SI,1
0.00308738,1448,151,9,15,1024,1,0.99624,1.003096941,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0.00582025,1448,151,9,15,1024,1,0.99624,1.005854324,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0.00611971,1448,151,9,15,1024,1,0.99624,1.006157391,SI,1
0.00491567,1448,151,9,15,1024,1,0.99624,1.004939953,SI,1
0.00543301,1448,151,9,15,1024,1,0.99624,1.005462689,SI,1
0.00915775,1448,151,9,15,1024,1,0.99624,1.009242389,SI,1
0.00806109,1448,151,9,15,1024,1,0.99624,1.008126599,SI,1
0.011949,1448,152,9,15,1024,1,0.99624,1.012093505,SI,1
0.00637358,1448,151,9,15,1024,1,0.99624,1.006414463,SI,1
0.0105793,1448,152,9,15,1024,1,0.99624,1.010692418,SI,1
0.0166084,1448,153,9,15,1024,1,0.99624,1.016888898,SI,1
0.0219952,1448,153,9,15,1024,1,0.99624,1.022489869,SI,1
0.0248615,1448,154,9,15,1024,1,0.99624,1.025495353,SI,1
0.0312335,1448,155,9,15,1024,1,0.99624,1.032240483,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0.00651297,1448,151,9,15,1024,1,0.99624,1.006555667,SI,1
0.0128725,1448,152,9,15,1024,1,0.99624,1.013040362,SI,1
0.00988126,1448,152,9,15,1024,1,0.99624,1.009979874,SI,1
0.0258247,1448,154,9,15,1024,1,0.99624,1.026509295,SI,1
0.0261111,1448,154,9,15,1024,1,0.99624,1.026811169,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0.00957738,1448,152,9,15,1024,1,0.99624,1.009669993,SI,1
0.0100885,1448,152,9,15,1024,1,0.99624,1.010191315,SI,1
0.0112356,1448,152,9,15,1024,1,0.99624,1.011363273,SI,1
0.00885886,1448,151,9,15,1024,1,0.99624,1.008938041,SI,1
0.0152658,1448,152,9,15,1024,1,0.99624,1.015502457,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0.000721479,1448,150,9,15,1024,1,0.99624,1.000722,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0.0119795,1448,152,9,15,1024,1,0.99624,1.012124748,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0.000411331,1448,150,9,15,1024,1,0.99624,1.0004115,SI,1
0.0188662,1448,153,9,15,1024,1,0.99624,1.019228978,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0.010718,1448,152,9,15,1024,1,0.99624,1.01083412,SI,1
0.0110966,1448,152,9,15,1024,1,0.99624,1.011221116,SI,1
0.0156425,1448,152,9,15,1024,1,0.99624,1.015891076,SI,1
0.01897,1448,153,9,15,1024,1,0.99624,1.019336819,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0.000323895,1448,150,9,15,1024,1,0.99624,1.000324,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0.00511961,1448,151,9,15,1024,1,0.99624,1.005145955,SI,1
0.0118906,1448,152,9,15,1024,1,0.99624,1.012033688,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0.000557189,1448,150,9,15,1024,1,0.99624,1.0005575,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0.0332844,1448,155,9,15,1024,1,0.99624,1.034430395,SI,1
0.0120674,1448,152,9,15,1024,1,0.99624,1.012214801,SI,1
0.0118193,1448,152,9,15,1024,1,0.99624,1.011960667,SI,1
0.046425,1448,157,9,15,1024,1,0.99624,1.048685211,SI,1
0.0218762,1448,153,9,15,1024,1,0.99624,1.022365472,SI,1
0.0194717,1448,153,9,15,1024,1,0.99624,1.019858376,SI,1
0.0326628,1448,155,9,15,1024,1,0.99624,1.033765682,SI,1
0.0320335,1448,155,9,15,1024,1,0.99624,1.033093604,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0.000721479,1448,150,9,15,1024,1,0.99624,1.000722,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0.000411331,1448,150,9,15,1024,1,0.99624,1.0004115,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0.0320335,1448,155,9,15,1024,1,0.99624,1.033093604,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0.0248615,1448,154,9,15,1024,1,0.99624,1.025495353,SI,1
0.01897,1448,153,9,15,1024,1,0.99624,1.019336819,SI,1
0.00491567,1448,151,9,15,1024,1,0.99624,1.004939953,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0.00642941,1448,151,9,15,1024,1,0.99624,1.006471015,SI,1
0.0110716,1448,152,9,15,1024,1,0.99624,1.011195553,SI,1
0.0165703,1448,153,9,15,1024,1,0.99624,1.016849501,SI,1
0.00308738,1448,151,9,15,1024,1,0.99624,1.003096941,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0.374235,1448,240,9,15,1024,1,0.99624,1.598043994,SI,1
0.00582025,1448,151,9,15,1024,1,0.99624,1.005854324,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0.00611971,1448,151,9,15,1024,1,0.99624,1.006157391,SI,1
0.00491567,1448,151,9,15,1024,1,0.99624,1.004939953,SI,1
0.00543301,1448,151,9,15,1024,1,0.99624,1.005462689,SI,1
